time_ms,exit_code,path_size,path,buffer_size,buffer,num_states,num_controls
,,,,,0.19776,,
,,,,,0.975295,,
,,,,,0.0883052,,
,,,,,0.4908,,
,,,,,0.1333,,
,,,,,0.3927,,
,,,,,70,,
,,,,,60,,
,,,,,-1,,
,,,,,7,,
,,,,,6.44639,,
,,,,,0.23743,,
,,,,,1.1733,,
,,,,,0.110463,,
,,,,,-5.00083e-05,,
,,,,,0.53,,
,,,,,-0.589,,
,,,,,71,,
,,,,,60,,
,,,,,-1,,
,,,,,7,,
,,,,,6.48411,,
,,,,,0.21776,,
,,,,,1.07072,,
,,,,,0.118621,,
,,,,,0.3926,,
,,,,,0.3333,,
,,,,,0.1963,,
,,,,,72,,
,,,,,60,,
,,,,,-1,,
,,,,,7,,
,,,,,6.57223,,
,,,,,0.1911,,
,,,,,0.945581,,
,,,,,0.0724705,,
,,,,,0.1963,,
,,,,,0.0667,,
,,,,,-0.1963,,
,,,,,73,,
,,,,,60,,
,,,,,78,,
,,,,,7,,
,,,,,6.4325,,
,,,,,0.2311,,
,,,,,1.12638,,
,,,,,0.157228,,
,,,,,0.58895,,
,,,,,0.4667,,
,,,,,0.589,,
,,,,,74,,
,,,,,60,,
,,,,,-1,,
,,,,,7,,
,,,,,6.52028,,
,,,,,0.2111,,
,,,,,1.04441,,
,,,,,0.0848083,,
,,,,,-0.0491501,,
,,,,,0.2667,,
,,,,,-0.6872,,
,,,,,75,,
,,,,,60,,
,,,,,-1,,
,,,,,7,,
,,,,,6.57829,,
,,,,,0.18887,,
,,,,,0.934435,,
,,,,,0.0709133,,
,,,,,0.34355,,
,,,,,0.0444,,
,,,,,0.0982,,
,,,,,76,,
,,,,,60,,
,,,,,-1,,
,,,,,7,,
,,,,,6.46087,,
,,,,,0.22887,,
,,,,,1.1292,,
,,,,,0.115867,,
,,,,,0.1472,,
,,,,,0.4444,,
,,,,,-0.2945,,
,,,,,77,,
,,,,,60,,
,,,,,-1,,
,,,,,7,,
,,,,,6.50953,,
,,,,,0.20887,,
,,,,,1.02595,,
,,,,,0.110699,,
,,,,,0.5399,,
,,,,,0.2444,,
,,,,,0.4909,,
,,,,,79,,
,,,,,73,,
,,,,,-1,,
,,,,,8,,
,,,,,6.3601,,
,,,,,0.2511,,
,,,,,1.2135,,
,,,,,0.206006,,
,,,,,0.3926,,
,,,,,0.2,,
,,,,,-0.3927,,
,,,,,79,,
,,,,,73,,
,,,,,-1,,
,,,,,8,,
,,,,,6.3601,,
,,,,,0.2511,,
,,,,,1.2135,,
,,,,,0.206006,,
,,,,,0.3926,,
,,,,,0.2,,
,,,,,-0.3927,,
,,,,,86,,
,,,,,73,,
,,,,,-1,,
,,,,,8,,
,,,,,6.41566,,
,,,,,0.23554,,
,,,,,1.14459,,
,,,,,0.169919,,
,,,,,0.63805,,
,,,,,0.0444,,
,,,,,0.0982,,
,,,,,81,,
,,,,,73,,
,,,,,89,,
,,,,,8,,
,,,,,6.2459,,
,,,,,0.2841,,
,,,,,1.36169,,
,,,,,0.277098,,
,,,,,0.29445,,
,,,,,0.53,,
,,,,,-0.589,,
,,,,,88,,
,,,,,73,,
,,,,,-1,,
,,,,,8,,
,,,,,6.33774,,
,,,,,0.25554,,
,,,,,1.22062,,
,,,,,0.234555,,
,,,,,0.8344,,
,,,,,0.2444,,
,,,,,0.4909,,
,,,,,83,,
,,,,,73,,
,,,,,-1,,
,,,,,8,,
,,,,,6.40782,,
,,,,,0.23777,,
,,,,,1.15481,,
,,,,,0.174644,,
,,,,,0.4908,,
,,,,,0.0667,,
,,,,,-0.1963,,
,,,,,84,,
,,,,,73,,
,,,,,-1,,
,,,,,8,,
,,,,,6.25095,,
,,,,,0.27777,,
,,,,,1.30322,,
,,,,,0.308232,,
,,,,,0.88345,,
,,,,,0.4667,,
,,,,,0.589,,
,,,,,85,,
,,,,,73,,
,,,,,-1,,
,,,,,8,,
,,,,,6.33962,,
,,,,,0.25777,,
,,,,,1.2458,,
,,,,,0.215137,,
,,,,,0.24535,,
,,,,,0.2667,,
,,,,,-0.6872,,
,,,,,86,,
,,,,,73,,
,,,,,-1,,
,,,,,8,,
,,,,,6.41566,,
,,,,,0.23554,,
,,,,,1.14459,,
,,,,,0.169919,,
,,,,,0.63805,,
,,,,,0.0444,,
,,,,,0.0982,,
,,,,,87,,
,,,,,73,,
,,,,,-1,,
,,,,,8,,
,,,,,6.27017,,
,,,,,0.27554,,
,,,,,1.31793,,
,,,,,0.26947,,
,,,,,0.4417,,
,,,,,0.4444,,
,,,,,-0.2945,,
,,,,,88,,
,,,,,73,,
,,,,,-1,,
,,,,,8,,
,,,,,6.33774,,
,,,,,0.25554,,
,,,,,1.22062,,
,,,,,0.234555,,
,,,,,0.8344,,
,,,,,0.2444,,
,,,,,0.4909,,
,,,,,93,,
,,,,,81,,
,,,,,100,,
,,,,,9,,
,,,,,6.14067,,
,,,,,0.31743,,
,,,,,1.51909,,
,,,,,0.331663,,
,,,,,0.3926,,
,,,,,0.3333,,
,,,,,0.1963,,
,,,,,90,,
,,,,,81,,
,,,,,-1,,
,,,,,9,,
,,,,,6.18979,,
,,,,,0.3041,,
,,,,,1.45922,,
,,,,,0.298488,,
,,,,,0.0981,,
,,,,,0.2,,
,,,,,-0.3927,,
,,,,,91,,
,,,,,81,,
,,,,,-1,,
,,,,,9,,
,,,,,6.2023,,
,,,,,0.29743,,
,,,,,1.42366,,
,,,,,0.301348,,
,,,,,0.4908,,
,,,,,0.1333,,
,,,,,0.3927,,
,,,,,92,,
,,,,,81,,
,,,,,-1,,
,,,,,9,,
,,,,,6.10622,,
,,,,,0.3371,,
,,,,,1.62166,,
,,,,,0.323505,,
,,,,,-5.00083e-05,,
,,,,,0.53,,
,,,,,-0.589,,
,,,,,93,,
,,,,,81,,
,,,,,-1,,
,,,,,9,,
,,,,,6.14067,,
,,,,,0.31743,,
,,,,,1.51909,,
,,,,,0.331663,,
,,,,,0.3926,,
,,,,,0.3333,,
